shape,lb_per_ft,family,d,bf,tf,tw,k
W14x74,74.0,W,14.17,10.07,0.785,0.450,1.38
W14x82,82.0,W,14.31,10.13,0.855,0.510,1.45
W14x90,90.0,W,14.02,14.52,0.710,0.440,1.31
W14x99,99.0,W,14.16,14.57,0.780,0.485,1.38
W14x109,109.0,W,14.32,14.61,0.860,0.525,1.46
W14x120,120.0,W,14.48,14.67,0.940,0.590,1.54
W14x132,132.0,W,14.66,14.73,1.030,0.645,1.63
W14x145,145.0,W,14.78,15.50,1.090,0.680,1.69
W14x159,159.0,W,14.98,15.57,1.190,0.745,1.78
W14x176,176.0,W,15.22,15.65,1.310,0.830,1.91
W16x26,26.0,W,15.69,5.50,0.345,0.250,0.88
W16x31,31.0,W,15.88,5.53,0.440,0.275,0.98
W16x36,36.0,W,15.86,6.99,0.430,0.295,0.98
W16x40,40.0,W,16.01,7.00,0.505,0.305,1.06
W16x45,45.0,W,16.13,7.04,0.565,0.345,1.13
W16x50,50.0,W,16.26,7.07,0.630,0.380,1.19
W16x57,57.0,W,16.43,7.12,0.715,0.430,1.28
W16x67,67.0,W,16.33,10.24,0.665,0.395,1.25
W16x77,77.0,W,16.52,10.30,0.760,0.455,1.34
W16x89,89.0,W,16.75,10.37,0.875,0.525,1.44
W16x100,100.0,W,16.97,10.43,0.985,0.585,1.59
W18x35,35.0,W,17.70,6.00,0.425,0.300,0.98
W18x40,40.0,W,17.90,6.02,0.525,0.315,1.08
W18x46,46.0,W,18.06,6.06,0.605,0.360,1.18
W18x50,50.0,W,17.99,7.50,0.570,0.355,1.14
W18x55,55.0,W,18.11,7.53,0.630,0.390,1.20
W18x60,60.0,W,18.24,7.56,0.695,0.415,1.27
W18x65,65.0,W,18.35,7.59,0.750,0.450,1.33
W18x71,71.0,W,18.47,7.64,0.810,0.495,1.39
W18x76,76.0,W,18.21,11.04,0.680,0.425,1.28
W18x86,86.0,W,18.39,11.09,0.770,0.480,1.37
W18x97,97.0,W,18.59,11.15,0.870,0.535,1.47
W18x106,106.0,W,18.73,11.20,0.940,0.590,1.54
W18x119,119.0,W,18.97,11.27,1.060,0.655,1.66
W21x44,44.0,W,20.66,6.50,0.450,0.350,1.02
W21x50,50.0,W,20.83,6.53,0.535,0.380,1.11
W21x57,57.0,W,21.06,6.56,0.650,0.405,1.22
W21x62,62.0,W,20.99,8.24,0.615,0.400,1.22
W21x68,68.0,W,21.13,8.27,0.685,0.430,1.28
W21x73,73.0,W,21.24,8.30,0.740,0.455,1.34
W21x83,83.0,W,21.43,8.36,0.835,0.515,1.44
W21x93,93.0,W,21.62,8.42,0.930,0.580,1.53
W21x101,101.0,W,21.36,12.29,0.800,0.500,1.40
W21x111,111.0,W,21.51,12.34,0.875,0.550,1.48
W21x122,122.0,W,21.68,12.39,0.960,0.600,1.56
W21x132,132.0,W,21.83,12.44,1.035,0.650,1.64
W24x55,55.0,W,23.57,7.01,0.505,0.395,1.10
W24x62,62.0,W,23.74,7.04,0.590,0.430,1.19
W24x68,68.0,W,23.73,8.97,0.585,0.415,1.18
W24x76,76.0,W,23.92,8.99,0.680,0.440,1.28
W24x84,84.0,W,24.10,9.02,0.770,0.470,1.37
W24x94,94.0,W,24.31,9.07,0.875,0.515,1.48
W24x104,104.0,W,24.06,12.75,0.750,0.500,1.35
W24x117,117.0,W,24.26,12.80,0.850,0.550,1.45
W24x131,131.0,W,24.48,12.86,0.960,0.605,1.56
W24x146,146.0,W,24.74,12.90,1.090,0.650,1.69
W24x162,162.0,W,25.00,13.00,1.220,0.705,1.82
HSS3x3x1/4,9.01,HSS,3.00,3.00,0.250,0.250,0.50
HSS4x4x1/4,12.21,HSS,4.00,4.00,0.250,0.250,0.50
HSS4x4x3/8,17.27,HSS,4.00,4.00,0.375,0.375,0.56
HSS4x4x1/2,21.63,HSS,4.00,4.00,0.500,0.500,0.75
HSS5x5x1/4,15.62,HSS,5.00,5.00,0.250,0.250,0.50
HSS5x5x3/8,22.37,HSS,5.00,5.00,0.375,0.375,0.56
HSS5x5x1/2,28.43,HSS,5.00,5.00,0.500,0.500,0.75
HSS6x6x1/4,19.02,HSS,6.00,6.00,0.250,0.250,0.50
HSS6x6x3/8,27.48,HSS,6.00,6.00,0.375,0.375,0.56
HSS6x6x1/2,35.24,HSS,6.00,6.00,0.500,0.500,0.75
HSS8x8x1/4,25.82,HSS,8.00,8.00,0.250,0.250,0.50
HSS8x8x3/8,37.69,HSS,8.00,8.00,0.375,0.375,0.56
HSS8x8x1/2,48.85,HSS,8.00,8.00,0.500,0.500,0.75
HSS8x8x5/8,59.32,HSS,8.00,8.00,0.625,0.625,0.94
HSS10x10x3/8,47.90,HSS,10.00,10.00,0.375,0.375,0.56
HSS10x10x1/2,62.46,HSS,10.00,10.00,0.500,0.500,0.75
HSS10x10x5/8,76.33,HSS,10.00,10.00,0.625,0.625,0.94
HSS12x12x3/8,58.10,HSS,12.00,12.00,0.375,0.375,0.56
HSS12x12x1/2,76.07,HSS,12.00,12.00,0.500,0.500,0.75
HSS12x12x5/8,93.34,HSS,12.00,12.00,0.625,0.625,0.94
C6x8.2,8.2,C,6.00,1.92,0.343,0.200,0.73
C6x10.5,10.5,C,6.00,2.03,0.343,0.314,0.73
C6x13,13.0,C,6.00,2.16,0.343,0.437,0.73
C8x11.5,11.5,C,8.00,2.26,0.390,0.220,0.78
C8x13.75,13.75,C,8.00,2.34,0.390,0.303,0.78
C8x18.75,18.75,C,8.00,2.53,0.390,0.487,0.78
C10x15.3,15.3,C,10.00,2.60,0.436,0.240,0.83
C10x20,20.0,C,10.00,2.74,0.436,0.379,0.83
C10x25,25.0,C,10.00,2.89,0.436,0.526,0.83
C10x30,30.0,C,10.00,3.03,0.436,0.673,0.83
C12x20.7,20.7,C,12.00,2.94,0.501,0.282,0.90
C12x25,25.0,C,12.00,3.05,0.501,0.387,0.90
C12x30,30.0,C,12.00,3.17,0.501,0.510,0.90
L3x3x1/4,4.9,L,3.00,3.00,0.250,0.250,0.50
L3x3x3/8,7.2,L,3.00,3.00,0.375,0.375,0.56
L3x3x1/2,9.4,L,3.00,3.00,0.500,0.500,0.75
L4x4x1/4,6.6,L,4.00,4.00,0.250,0.250,0.50
L4x4x3/8,9.8,L,4.00,4.00,0.375,0.375,0.56
L4x4x1/2,12.8,L,4.00,4.00,0.500,0.500,0.75
L5x5x3/8,12.3,L,5.00,5.00,0.375,0.375,0.56
L5x5x1/2,16.2,L,5.00,5.00,0.500,0.500,0.75
L6x6x3/8,14.9,L,6.00,6.00,0.375,0.375,0.56
L6x6x1/2,19.6,L,6.00,6.00,0.500,0.500,0.75
L6x6x5/8,24.2,L,6.00,6.00,0.625,0.625,0.94
L8x8x1/2,26.4,L,8.00,8.00,0.500,0.500,0.75
L8x8x5/8,32.7,L,8.00,8.00,0.625,0.625,0.94
L8x8x3/4,38.9,L,8.00,8.00,0.750,0.750,1.00
L8x8x1,51.0,L,8.00,8.00,1.000,1.000,1.25
