bluebeam_subject,aisc_designation,member_type,notes
HSS8X8X3/8 COLUMN,HSS8X8X3/8,structural,
HSS8X8X1/2 COLUMN,HSS8X8X1/2,structural,
HSS8X8X5/8 COLUMN,HSS8X8X5/8,structural,
HSS10X10X3/8 COLUMN,HSS10X10X3/8,structural,
HSS10X10X1/2 COLUMN,HSS10X10X1/2,structural,
HSS12X12X1/2 COLUMN,HSS12X12X1/2,structural,
HSS5X3X1/4 BEAM,HSS5X3X1/4,structural,
HSS6X4X1/4 BEAM,HSS6X4X1/4,structural,
HSS6X4X3/8 BEAM,HSS6X4X3/8,structural,
HSS8X4X1/4 BEAM,HSS8X4X1/4,structural,
HSS8X4X3/8 BEAM,HSS8X4X3/8,structural,
HSS8X6X3/8 BEAM,HSS8X6X3/8,structural,
C6X8.2 CHANNEL,C6X8.2,structural,
C8X11.5 CHANNEL,C8X11.5,structural,
C9X15 CHANNEL,C9X15,structural,
C10X15.3 CHANNEL,C10X15.3,structural,
C12X20.7 CHANNEL,C12X20.7,structural,
L3X3X1/4 ANGLE,L3X3X1/4,structural,
L3X3X3/8 ANGLE,L3X3X3/8,structural,
L4X4X1/4 ANGLE,L4X4X1/4,structural,
L4X4X3/8 ANGLE,L4X4X3/8,structural,
L4X4X1/2 ANGLE,L4X4X1/2,structural,
L5X5X3/8 ANGLE,L5X5X3/8,structural,
L5X5X1/2 ANGLE,L5X5X1/2,structural,
L6X6X3/8 ANGLE,L6X6X3/8,structural,
L6X6X1/2 ANGLE,L6X6X1/2,structural,
L4X3X1/4 ANGLE,L4X3X1/4,structural,
L4X3X3/8 ANGLE,L4X3X3/8,structural,
26K6 JOIST,26K6,joist,
26K7 JOIST,26K7,joist,
28K8 JOIST,28K8,joist,
30K8 JOIST,30K8,joist,
30K9 JOIST,30K9,joist,
30K10 JOIST,30K10,joist,
30K12 JOIST,30K12,joist,
32K9 JOIST,32K9,joist,
32K10 JOIST,32K10,joist,
24K9 JOIST,24K9,joist,
22K9 JOIST,22K9,joist,
20K7 JOIST,20K7,joist,
18K5 JOIST,18K5,joist,
16K4 JOIST,16K4,joist,
14K4 JOIST,14K4,joist,
30LH08 JOIST,30LH08,joist,
36LH09 JOIST,36LH09,joist,
40LH09 JOIST,40LH09,joist,
44LH09 JOIST,44LH09,joist,
48LH12 JOIST,48LH12,joist,
52LH12 JOIST,52LH12,joist,
60DLH12 JOIST,60DLH12,joist,
72DLH14 JOIST,72DLH14,joist,
ANCHOR ROD 3/4X12,ANCHOR_ROD_3/4X12,misc,
ANCHOR ROD 3/4X18,ANCHOR_ROD_3/4X18,misc,
ANCHOR ROD 1X12,ANCHOR_ROD_1X12,misc,
ANCHOR ROD 1X18,ANCHOR_ROD_1X18,misc,
ANCHOR ROD 1X20,ANCHOR_ROD_1X20,misc,
ANCHOR ROD 1X24,ANCHOR_ROD_1X24,misc,
ANCHOR ROD 1-1/4X18,ANCHOR_ROD_1-1/4X18,misc,
ANCHOR ROD 1-1/4X24,ANCHOR_ROD_1-1/4X24,misc,
ANCHOR ROD 1-1/2X18,ANCHOR_ROD_1-1/2X18,misc,
ANCHOR ROD 1-1/2X24,ANCHOR_ROD_1-1/2X24,misc,
HEADED STUD 3/4X4,HEADED_STUD_3/4X4,misc,
HEADED STUD 3/4X5,HEADED_STUD_3/4X5,misc,
HEADED STUD 3/4X6,HEADED_STUD_3/4X6,misc,
HEADED STUD 7/8X6,HEADED_STUD_7/8X6,misc,
EMBED PLATE 1/2X8X8,EMBED_PLATE_1/2X8X8,misc,
EMBED PLATE 1/2X12X12,EMBED_PLATE_1/2X12X12,misc,
EMBED PLATE 3/4X12X12,EMBED_PLATE_3/4X12X12,misc,
EMBED PLATE 1X12X12,EMBED_PLATE_1X12X12,misc,
BASE PLATE 1/2X12X12,PL1/2X12X12,plate,
BASE PLATE 3/4X14X14,PL3/4X14X14,plate,
BASE PLATE 1X14X14,PL1X14X14,plate,
BASE PLATE 1X16X16,PL1X16X16,plate,
BASE PLATE 1X18X18,PL1X18X18,plate,
GUSSET PLATE 1/4X6X6,PL1/4X6X6,plate,
GUSSET PLATE 3/8X8X8,PL3/8X8X8,plate,
GUSSET PLATE 1/2X10X10,PL1/2X10X10,plate,
